query_id,rank,statute_id,title_list,section_list,heading_list,content_list,distance_list,relevance,rhwc
9,1,718,Landlord and Tenant Act 1985,s.21(3),Service charge information,"The regulations must, subject to any exceptions provided for in the regulations, require the landlord to provide the tenant with a report by a qualified person on information which the landlord is required to provide by virtue of this section.",0.316287875,SR,
9,2,445,"Anti-social Behaviour, Crime and Policing Act 2014",s.76(6),Power to issue closure notices,"A closure notice may be issued only if reasonable efforts have been made to informÃ¢Â€Â”(a) people who live on the premises (whether habitually or not), and (b) any person who has control of or responsibility for the premises or who has an interest in them, that the notice is going to be issued.",0.330740333,NR,
9,3,481,Housing Act 1985,s.85ZA(4),Review of decision to seek possession on absolute ground for anti-social behaviour,The landlord must notify the tenant in writing of the decision on the review.,0.333104789,NR,
9,4,703,Landlord and Tenant Act 1985,s.20ZA(5A),Consultation requirements: supplementary,"And in the case of works to which section 20D applies, regulations under subsection (4) may also include provision requiring the landlordÃ¢Â€Â” (a) to give details of the steps taken or to be taken under section 20D(2), (b) to give reasons about prescribed matters, and any other prescribed information, relating to the taking of such steps, and (c) to have regard to observations made by tenants or the recognised tenantsÃ¢Â€Â™ association in relation to the taking of such steps.",0.338486791,NR,
9,5,321,Housing and Regeneration Act 2008,s.199a(3),Survey: power to enter without warrant,"The requirement to give notice may be waivedÃ¢Â€Â”  (a)in the case of notice required by subsection (2)(a), by the registered provider, and  (b)in the case of notice required by subsection (2)(b), by the occupier (or any one of the occupiers) of the premises.",0.341373235,VR,
9,6,469,Housing Act 1985,s.83ZA(3),Notice requirements in relation to proceedings for possession on absolute ground for anti-social behaviour,"The notice mustÃ¢Â€Â” (a) state that the court will be asked to make an order under section 84A for the possession of the dwellingÃ¢Â€Â‘house, (b) set out the reasons for the landlord's decision to apply for the order (including the condition or conditions in section 84A on which the landlord proposes to rely), and (c) inform the tenant of any right that the tenant may have under section 85ZA to request a review of the landlord's decision and of the time within which the request must be made.",0.346280724,NR,
9,7,989,Housing Act 1985,s.122(1),TenantÃ¢Â€Â™s notice claiming to exercise right to buy,A secure tenant claims to exercise the right to buy by written notice to that effect served on the landlord.,0.346324921,NR,
9,8,483,Housing Act 1985,s.85ZA(6),Review of decision to seek possession on absolute ground for anti-social behaviour,"The review must be carried out, and the tenant notified, before the day specified in the notice under section 83ZA as the day after which proceedings for the possession of the dwelling-house may be begun.",0.348892301,NR,
9,9,717,Landlord and Tenant Act 1985,s.21(2),Service charge information,"The regulations must, subject to any exceptions provided for in the regulations, require the landlord to provide information aboutÃ¢Â€Â” (a) the service charges of the tenant, (b) any associated service charges, and (c) relevant costs relating to service charges falling within paragraph (a) or (b).",0.352216154,NR,
9,10,478,Housing Act 1985,s.85ZA(1),Review of decision to seek possession on absolute ground for anti-social behaviour,"A tenant may request a review of a landlord's decision to seek an order for possession of a dwelling-house under section 84A if the interest of the landlord belongs toÃ¢Â€Â” (a) a local housing authority, or (b) a housing action trust.",0.352827668,NR,
10,1,277,Equality Act 2010,s.20(2),Duty to Make Adjustments,"The duty comprises the following three requirements.  (1)The first requirement is a requirement, where a provision, criterion or practice of A's puts a disabled person at a substantial disadvantage in relation to a relevant matter in comparison with persons who are not disabled, to take such steps as it is reasonable to have to take to avoid the disadvantage.  (2)The second requirement is a requirement, where a physical feature puts a disabled person at a substantial disadvantage in relation to a relevant matter in comparison with persons who are not disabled, to take such steps as it is reasonable to have to take to avoid the disadvantage.  (3)The third requirement is a requirement, where a disabled person would, but for the provision of an auxiliary aid, be put at a substantial disadvantage in relation to a relevant matter in comparison with persons who are not disabled, to take such steps as it is reasonable to have to take to provide the auxiliary aid.",0.406625211,VR,
10,2,279,Equality Act 2010,s.20(7),Duty to Make Adjustments,"A person (A) who is subject to a duty to make reasonable adjustments is not (subject to express provision to the contrary) entitled to require a disabled person, in relation to whom A is required to comply with the duty, to pay to any extent A's costs of complying with the duty.",0.434547096,VR,
10,3,283,Equality Act 2010,s.21(2),Failure To Comply With Duty,A discriminates against a disabled person if A fails to comply with that duty in relation to that person.,0.437925041,VR,
10,4,790,The Housing Health and Safety Rating System (England) Regulations 2005,Sch 1(21),Falling on stairs etc,"21. Falling on stairs, steps or ramps where the change in level is 300 millimetres or more.",0.447318286,VR,
10,5,276,Equality Act 2010,s.20(1),Duty to Make Adjustments,"Where this Act imposes a duty to make reasonable adjustments on a person, this section, sections 21 and 22 and the applicable Schedule apply; and for those purposes, a person on whom the duty is imposed is referred to as A.",0.477952182,VR,
10,6,275,Equality Act 2010,s.15(1),Discrimination Arising from Disability,"A person (A) discriminates against a disabled person (B) ifÃ¢Â€Â”  (a)A treats B unfavourably because of something arising in consequence of B's disability, and  (b)A cannot show that the treatment is a proportionate means of achieving a legitimate aim.  Subsection (1) does not apply if A shows that A did not know, and could not reasonably have been expected to know, that B had the disability.",0.480713308,MR,
10,7,303,Equality Act 2010,n.34.1,Permission for Disposal,"If a person or body (such as a housing association) must give permission for someone to sublet, transfer or dispose of a home, they must not discriminate or retaliate against the person requesting that permission.",0.481994957,NR,
10,8,815,Building Safety Act 2022,s.84(4),Management of building safety risks,The steps must be taken promptly.,0.482474029,NR,
10,9,282,Equality Act 2010,s.21(1),Failure To Comply With Duty,"A failure to comply with the first, second or third requirement is a failure to comply with a duty to make reasonable adjustments.",0.487346292,MR,
10,10,52,Housing Act 1996,s.188(1),Interim duty to accommodate in case of apparent priority need,"If the local housing authority have reason to believe that an applicant may be homeless, eligible for assistance and have a priority need, they must secure that accommodation is available for the applicant's occupation.",0.488223523,NR,
11,1,5,Housing Act 1996,s.175(5),Homelessness and threatened homelessness,"A person is also threatened with homelessness if a valid notice has been given to the person under section 21 of the Housing Act 1988 (orders for possession on expiry or termination of assured shorthold tenancy) in respect of the only accommodation the person has that is available for the person's occupation, and that notice will expire within 56 days.",0.243746549,VR,
11,2,154,Housing Act 1996,s.195a(2),Re-application after private rented sector offer,"For the purpose of s.195a.1, an applicant in respect of whom a valid notice under section 21 of the Housing Act 1988 (orders for possession on expiry or termination of assured shorthold tenancy) has been given is to be treated as homeless from the date on which that notice expires.",0.247344404,VR,
11,3,150,Housing Act 1996,s.195(8),Duties in cases of threatened homelessness,"The circumstances are that the authority are satisfied thatÃ¢Â€Â”  (a)the applicant hasÃ¢Â€Â”  (i)suitable accommodation available for occupation, and  (ii)a reasonable prospect of having suitable accommodation available for occupation for at least 6 months, or such longer period not exceeding 12 months as may be prescribed, from the date of the notice,  (b)the authority have complied with the duty under s.195.2 and the period of 56 days beginning with the day that the authority are first satisfied as mentioned in s.195.1 has ended (whether or not the applicant is still threatened with homelessness),  (c)the applicant has become homeless,  (d)the applicant has refused an offer of suitable accommodation and, on the date of refusal, there was a reasonable prospect that suitable accommodation would be available for occupation by the applicant for at least 6 months or such longer period not exceeding 12 months as may be prescribed,  (e)the applicant has become homeless intentionally from any accommodation that has been made available to the applicant as a result of the authority's exercise of their functions under s.195.2,  (f)the applicant is no longer eligible for assistance, or  (g)the applicant has withdrawn the application mentioned in section 183(1).",0.287166089,MR,
11,4,153,Housing Act 1996,s.195a(1),Re-application after private rented sector offer,"If within two years beginning with the date on which an applicant accepts an offer under section 193(7AA) (private rented sector offer), the applicant re-applies for accommodation, or for assistance in obtaining accommodation, and the local housing authorityÃ¢Â€Â”  (a)is satisfied that the applicant is homeless and eligible for assistance, and  (b)is not satisfied that the applicant became homeless intentionally,  the duty under section 193(2) applies regardless of whether the applicant has a priority need.",0.301193863,NR,
11,5,4,Housing Act 1996,s.175(4),Homelessness and threatened homelessness,A person is threatened with homelessness if it is likely that he will become homeless within 56 days.,0.314873576,VR,
11,6,148,Housing Act 1996,s.195(6),Duties in cases of threatened homelessness,"But the authority may not give notice to the applicant under s.195.5 on the basis that the circumstances in subsection s.195.8.b apply if a valid notice has been given to the applicant under section 21 of the Housing Act 1988 (orders for possession on expiry or termination of assured shorthold tenancy) thatÃ¢Â€Â”  (a)will expire within 56 days or has expired, and  (b)is in respect of the only accommodation that is available for the applicant's occupation.",0.316301405,SR,
11,7,185,Housing Act 1996,s.200(1)(a),Duties to applicants whose case is considered for referral or referred under section 198(1),A local housing authority in England may not notify an applicant as mentioned in subsection (1) until the authority's duty to the applicant under section 189B(2) (initial duty owed to all eligible persons who are homeless) has come to an end.,0.318927914,NR,
11,8,1,Housing Act 1996,s.175(1),Homelessness and threatened homelessness,"A person is homeless if he has no accommodation available for his occupation, in the United Kingdom or elsewhere, which he is entitled to occupy by virtue of an interest in it or by virtue of an order of a court, has an expressed or implied licence to occupy, or occupies as a residence by virtue of any enactment or rule of law giving him the right to remain in occupation or restricting the right of another person to recover possession.",0.32187593,VR,
11,9,91,Housing Act 1996,s.190(1),Duties to persons becoming homeless intentionally,"This section applies where - (a) the local housing authority are satisfied that an applicant is homeless and eligible for assistance, but became homeless intentionally, (b) the authority are also satisfied that the applicant has a priority need, and (c) the authority's duty to the applicant under s.189b.2 has come to an end. ",0.326039135,SR,
11,10,83,Housing Act 1996,s.189b(7)(a),Initial duty owed to all eligible persons who are homeless,"The applicant has suitable accommodation available for occupation, and a reasonable prospect of having suitable accommodation available for occupation for at least 6 months, or such longer period not exceeding 12 months as may be prescribed, from the date of the notice.",0.327353626,SR,
12,1,7,Housing Act 1996,s.177(1),Whether it is reasonable to continue to occupy accommodation,"It is not reasonable for a person to continue to occupy accommodation if it is probably that this will lead to violence or domestic abuse against him, or against a person who normally resides with him as a member of his family, or any other person who might reasonably be expected to reside with him.",0.325966835,VR,
12,2,59,Housing Act 1996,s.189(1),Priority need for accommodation,"The following have a priority need for accommodation - (a) a pregnant woman or a person with whom she resides or might be reasonably expected to reside; (b) a person with whom dependent children reside or might reasonably be expected to reside; (c) a person who is vulnerable as a result of old age, mental illness or handicap or physical disability or other special reason, or with whom such a person resides or might reasonably be expected to reside; (d) a person who is homeless or threatened with homelessness as a result of an emergency such as flood, fire or other disaster; (e) a person who is homeless or threatened with homelessness as a result of that person being a victim of domestic abuse.",0.355423331,VR,
12,3,26,Housing Act 1996,s.183(1),Application for assistance,"The following provisions of this part apply where a person applies to a local housing authority for accommodation, or for assistance in obtaining accommodation, and the authority have reason to believe that he is or may be homeless or threatened with homelessness.",0.358100116,VR,
12,4,52,Housing Act 1996,s.188(1),Interim duty to accommodate in case of apparent priority need,"If the local housing authority have reason to believe that an applicant may be homeless, eligible for assistance and have a priority need, they must secure that accommodation is available for the applicant's occupation.",0.361733019,VR,
12,5,64,Housing Act 1996,s.189a(1),Assessments and personalised plan,"If the local housing authority are satisfied that an applicant is - (a) homeless or threatened with homelessness, and (b) eligible for assistance, the authority must make an assessment of the applicant's case.",0.363615692,VR,
12,6,143,Housing Act 1996,s.195(1),Duties in cases of threatened homelessness,"This section applies where the local housing authority are satisfied that an applicant isÃ¢Â€Â”  (a)threatened with homelessness, and  (b)eligible for assistance.",0.364028692,MR,
12,7,4,Housing Act 1996,s.175(4),Homelessness and threatened homelessness,A person is threatened with homelessness if it is likely that he will become homeless within 56 days.,0.367737234,MR,
12,8,65,Housing Act 1996,s.189a(2),Assessments and personalised plan,"The authority's assessment of the applicant's case must include an assessment of - (a) the circumstances that caused the applicant to become homeless or threatened with homelessness, (b) the housing needs of the applicant including, in particular, what accommodation would be suitable for the applicant and any persons with whom the applicant resides or might reasonably be expected to reside, and (c) what support would be necessary for the applicant and any other relevant persons to be able to have and retain suitable accommodation.",0.373363554,MR,
12,9,76,Housing Act 1996,s.189b(1),Initial duty owed to all eligible persons who are homeless,"This section applies where the local housing authority are satisfied that an applicant is - (a) homeless, and (b) eligible for assistance.",0.374413162,MR,
12,10,91,Housing Act 1996,s.190(1),Duties to persons becoming homeless intentionally,"This section applies where - (a) the local housing authority are satisfied that an applicant is homeless and eligible for assistance, but became homeless intentionally, (b) the authority are also satisfied that the applicant has a priority need, and (c) the authority's duty to the applicant under s.189b.2 has come to an end. ",0.375236243,NR,
13,1,59,Housing Act 1996,s.189(1),Priority need for accommodation,"The following have a priority need for accommodation - (a) a pregnant woman or a person with whom she resides or might be reasonably expected to reside; (b) a person with whom dependent children reside or might reasonably be expected to reside; (c) a person who is vulnerable as a result of old age, mental illness or handicap or physical disability or other special reason, or with whom such a person resides or might reasonably be expected to reside; (d) a person who is homeless or threatened with homelessness as a result of an emergency such as flood, fire or other disaster; (e) a person who is homeless or threatened with homelessness as a result of that person being a victim of domestic abuse.",0.319094986,VR,
13,2,91,Housing Act 1996,s.190(1),Duties to persons becoming homeless intentionally,"This section applies where - (a) the local housing authority are satisfied that an applicant is homeless and eligible for assistance, but became homeless intentionally, (b) the authority are also satisfied that the applicant has a priority need, and (c) the authority's duty to the applicant under s.189b.2 has come to an end. ",0.319734991,NR,
13,3,52,Housing Act 1996,s.188(1),Interim duty to accommodate in case of apparent priority need,"If the local housing authority have reason to believe that an applicant may be homeless, eligible for assistance and have a priority need, they must secure that accommodation is available for the applicant's occupation.",0.328165799,VR,
13,4,135,Housing Act 1996,s.193c(3),Notice under section 193B: consequences,"s.193c.4 applies if the authorityÃ¢Â€Â”  (a)are satisfied that the applicant is homeless, eligible for assistance and has a priority need, and  (b)are not satisfied that the applicant became homeless intentionally.",0.339225411,MR,
13,5,65,Housing Act 1996,s.189a(2),Assessments and personalised plan,"The authority's assessment of the applicant's case must include an assessment of - (a) the circumstances that caused the applicant to become homeless or threatened with homelessness, (b) the housing needs of the applicant including, in particular, what accommodation would be suitable for the applicant and any persons with whom the applicant resides or might reasonably be expected to reside, and (c) what support would be necessary for the applicant and any other relevant persons to be able to have and retain suitable accommodation.",0.340873182,MR,
13,6,153,Housing Act 1996,s.195a(1),Re-application after private rented sector offer,"If within two years beginning with the date on which an applicant accepts an offer under section 193(7AA) (private rented sector offer), the applicant re-applies for accommodation, or for assistance in obtaining accommodation, and the local housing authorityÃ¢Â€Â”  (a)is satisfied that the applicant is homeless and eligible for assistance, and  (b)is not satisfied that the applicant became homeless intentionally,  the duty under section 193(2) applies regardless of whether the applicant has a priority need.",0.347051829,MR,
13,7,64,Housing Act 1996,s.189a(1),Assessments and personalised plan,"If the local housing authority are satisfied that an applicant is - (a) homeless or threatened with homelessness, and (b) eligible for assistance, the authority must make an assessment of the applicant's case.",0.349870801,VR,
13,8,76,Housing Act 1996,s.189b(1),Initial duty owed to all eligible persons who are homeless,"This section applies where the local housing authority are satisfied that an applicant is - (a) homeless, and (b) eligible for assistance.",0.349893302,MR,
13,9,79,Housing Act 1996,s.189b(4),Initial duty owed to all eligible persons who are homeless,"Where the authority - (a) are satisfied that the applicant has a priority need, and (b) are not satisfied that the applicant becomes homeless intentionally, the duty under s.189b.2 comes to an end at the end of the period of 56 days beginning with the day the authority are first satisfied as mentioned in s.189b.1",0.354127973,MR,
13,10,99,Housing Act 1996,s.193(1),Duty to persons with priority need who are not homeless intentionally,"Section 193 applies where - (a) the local housing authority are satisfied that an applicant is homeless and eligible for assistance, and (ii) are not satisfied that the applicant became homeless intentionally, (b) the authority are also satisfied that the applicant has a priority need, and (c) the authority's duty to the applicant under s.189b.2 has come to an end.",0.354257435,SR,
14,1,30,Housing Act 1996,s.184(2),Inquiry into cases of homelessness or threatened homelessness,"They may also make inquiries whether he has a local connection with the district of another local housing authority in England, Wales or Scotland.",0.341313154,VR,
14,2,168,Housing Act 1996,s.199(1),Local connection,"A person has a local connection with the district of a local housing authority if he has a connection with itÃ¢Â€Â”  (a)because he is, or in the past was, normally resident there, and that residence is or was of his own choice,  (b)because he is employed there,  (c)because of family associations, or  (d)because of special circumstances.",0.344315559,VR,
14,3,159,Housing Act 1996,s.198(2),Referral of case to another local housing authority,"The conditions for referral of the case to another authority are met ifÃ¢Â€Â”  (a)neither the applicant nor any person who might reasonably be expected to reside with him has a local connection with the district of the authority to whom his application was made,  (b)the applicant or a person who might reasonably be expected to reside with him has a local connection with the district of that other authority, and  (c)neither the applicant nor any person who might reasonably be expected to reside with him will run the risk of domestic abuse in that other district.",0.352275819,VR,
14,4,171,Housing Act 1996,s.199(6),Local connection,A person has a local connection with the district of a local housing authority if he was (at any time) provided with accommodation in that district under section 95 of the Immigration and Asylum Act 1999 (support for asylum seekers).,0.354748219,VR,
14,5,176,Housing Act 1996,s.199(11),Local connection,A person ceases to have a local connection with a district under s.199.10 upon attaining the age of 21 (but this does not affect whether the person has a local connection with that district under any other provision of this section).,0.37182343,VR,
14,6,173,Housing Act 1996,s.199(8),Local connection,"While a local authority in England have a duty towards a person under section 23C of the Children Act 1989 (continuing functions in respect of former relevant children)Ã¢Â€Â”  (a) if the local authority is a local housing authority, the person has a local connection with their district, and  (b) otherwise, the person has a local connection with every district of a local housing authority that falls within the area of the local authority.",0.380027145,MR,
14,7,164,Housing Act 1996,s.198(5),Referral of case to another local housing authority,"The question whether the conditions for referral of a case which does not involve a referral to a local housing authority in Wales, are satisfied shall be decided by agreement between the notifying authority and the notified authority or, in default of agreement, in accordance with such arrangements as the Secretary of State may direct by order.",0.401811212,SR,
14,8,64,Housing Act 1996,s.189a(1),Assessments and personalised plan,"If the local housing authority are satisfied that an applicant is - (a) homeless or threatened with homelessness, and (b) eligible for assistance, the authority must make an assessment of the applicant's case.",0.41045469,NR,
14,9,175,Housing Act 1996,s.199(10),Local connection,"Where, by virtue of being provided with accommodation under section 22A of the Children Act 1989 (provision of accommodation for children in care), a person is normally resident in the district of a local housing authority in England for a continuous period of at least two years, some or all of which falls before the person attains the age of 16, the person has a local connection with that district.",0.413323343,MR,
14,10,37,Housing Act 1996,s.185(1),Persons from abroad not eligible for housing assistance,A person is not eligible for assistance under this Part if he is a person from aborad who is ineligible for housing assistance.,0.414206922,NR,
15,1,672,Dangerous Dogs Act 1991,s.3,Keeping dogs under proper control,"(1) If a dog is dangerously out of control in [F1 any place in England or Wales (whether or not a public place)]Ã¢Â€Â” (a) the owner; and (b) if different, the person for the time being in charge of the dog, is guilty of an offence, or, if the dog while so out of control injures any person [F2 or assistance dog], an aggravated offence, under this subsection.  (1A) A person (Ã¢Â€ÂœDÃ¢Â€Â) is not guilty of an offence under subsection (1) in a case which is a householder case.  (1B) For the purposes of subsection (1A) Ã¢Â€Âœa householder caseÃ¢Â€Â is a case whereÃ¢Â€Â” (a) the dog is dangerously out of control while in or partly in a building, or part of a building, that is a dwelling or is forces accommodation (or is both), and (b) at that timeÃ¢Â€Â” (i) the person in relation to whom the dog is dangerously out of control (Ã¢Â€ÂœVÃ¢Â€Â) is in, or is entering, the building or part as a trespasser, or (ii) D (if present at that time) believed V to be in, or entering, the building or part as a trespasser.  Section 76(8B) to (8F) of the Criminal Justice and Immigration Act 2008 (use of force at place of residence) apply for the purposes of this subsection as they apply for the purposes of subsection (8A) of that section (and for those purposes the reference in section 76(8D) to subsection (8A)(d) is to be read as if it were a reference to paragraph (b)(ii) of this subsection.)  (2) In proceedings for an offence under subsection (1) above against a person who is the owner of a dog but was not at the material time in charge of it, it shall be a defence for the accused to prove that the dog was at the material time in the charge of a person whom he reasonably believed to be a fit and proper person to be in charge of it.  (4) A person guilty of an offence under subsection (1) above other than an aggravated offence is liable on summary conviction to imprisonment for a term not exceeding six months or a fine not exceeding level 5 on the standard scale or both; and a person guilty of an aggravated offence under that subsection is liableÃ¢Â€Â” (a) on summary conviction, to imprisonment for a term not exceeding six months or a fine not exceeding the statutory maximum or both; (b) on conviction on indictment, to imprisonment for a term not exceeding the relevant maximum specified in subsection (4A) or a fine or both.  (4A) For the purposes of subsection (4)(b), the relevant maximum isÃ¢Â€Â” (a) 14 years if a person dies as a result of being injured; (b) 5 years in any other case where a person is injured; (c) 3 years in any case where an assistance dog is injured (whether or not it dies).  (5) It is hereby declared for the avoidance of doubt that an order under section 2 of the Dogs Act 1871 (order on complaint that dog is dangerous and not kept under proper control)Ã¢Â€Â” (a) may be made whether or not the dog is shown to have injured any person; and (b) may specify the measures to be taken for keeping the dog under proper control, whether by muzzling, keeping on a lead, excluding it from specified places or otherwise.  (6) If it appears to a court on a complaint under section 2 of the said Act of 1871 that the dog to which the complaint relates is a male and would be less dangerous if neutered the court may under that section make an order requiring it to be neutered.  (7) The reference in section 1(3) of the Dangerous Dogs Act 1989 (penalties) to failing to comply with an order under section 2 of the said Act of 1871 to keep a dog under proper control shall include a reference to failing to comply with any other order made under that section; but no order shall be made under that section by virtue of subsection (6) above where the matters complained of arose before the coming into force of that subsection.",0.381729215,VR,
15,2,671,Dangerous Dogs Act 1991,s.2,Other specially dangerous dogs,"(1) If it appears to the Secretary of State that dogs of any type to which section 1 above does not apply present a serious danger to the public he may by order impose in relation to dogs of that type restrictions corresponding, with such modifications, if any, as he thinks appropriate, to all or any of those in subsection (2)(d) and (e) of that section.  (2) An order under this section may provide for exceptions from any restriction imposed by the order in such cases and subject to compliance with such conditions as are specified in the order.  (3) An order under this section may contain such supplementary or transitional provisions as the Secretary of State thinks necessary or expedient and may create offences punishable on summary conviction with imprisonment for a term not exceeding six months or a fine not exceeding level 5 on the standard scale or both.  (4) In determining whether to make an order under this section in relation to dogs of any type and, if so, what the provisions of the order should be, the Secretary of State shall consult with such persons or bodies as appear to him to have relevant knowledge or experience, including a body concerned with animal welfare, a body concerned with veterinary science and practice and a body concerned with breeds of dogs.  (5) The power to make an order under this section shall be exercisable by statutory instrument and no such order shall be made unless a draft of it has been laid before and approved by a resolution of each House of Parliament.",0.427556604,VR,
15,3,677,Dangerous Dogs Act 1991,s.6,Dogs owned by young persons,"Where a dog is owned by a person who is less than sixteen years old any reference to its owner in section 1(2)(d) or (e) or 3 above shall include a reference to the head of the household, if any, of which that person is a member or, in Scotland, to the person who has his actual care and control.",0.429579645,VR,
15,4,676,Dangerous Dogs Act 1991,s.5,"Seizure, entry of premises and evidence","(1) A constable or an officer of a local authority authorised by it to exercise the powers conferred by this subsection may seizeÃ¢Â€Â” (a) any dog which appears to him to be a dog to which section 1 above applies and which is in a public placeÃ¢Â€Â”     (i) after the time when possession or custody of it has become unlawful by virtue of that section; or     (ii) before that time, without being muzzled and kept on a lead; (b) any dog in a public place which appears to him to be a dog to which an order under section 2 above applies and in respect of which an offence against the order has been or is being committed; and (c) any dog in a public place (whether or not a dog to which that section or such an order applies) which appears to him to be dangerously out of control.  (1A) A constable or an officer of a local authority authorised by it to exercise the powers conferred by this subsection may seize any dog in a place in England or Wales which is not a public place, if the dog appears to the constable or officer to be dangerously out of control.  (2) If a justice of the peace is satisfied by information on oath, or in Scotland a justice of the peace or sheriff is satisfied by evidence on oath, that there are reasonable grounds for believingÃ¢Â€Â” (a) that an offence under any provision of this Act or of an order under section 2 above is being or has been committed; or (b) that evidence of the commission of any such offence is to be found, on any premises he may issue a warrant authorising a constable to enter those premises (using such force as is reasonably necessary) and to search them and seize any dog or other thing found there which is evidence of the commission of such an offence.  (3) A warrant issued under this section in Scotland shall be authority for opening lockfast places and may authorise persons named in the warrant to accompany a constable who is executing it.  (5) If in any proceedings it is alleged by the prosecution that a dog is one to which section 1 or an order under section 2 above applies it shall be presumed that it is such a dog unless the contrary is shown by the accused by such evidence as the court considers sufficient; and the accused shall not be permitted to adduce such evidence unless he has given the prosecution notice of his intention to do so not later than the fourteenth day before that on which the evidence is to be adduced.",0.432053626,VR,
15,5,7,Housing Act 1996,s.177(1),Whether it is reasonable to continue to occupy accommodation,"It is not reasonable for a person to continue to occupy accommodation if it is probably that this will lead to violence or domestic abuse against him, or against a person who normally resides with him as a member of his family, or any other person who might reasonably be expected to reside with him.",0.434235752,NR,
15,6,396,"Anti-social Behaviour, Crime and Policing Act 2014",s.43(6),Power to issue notices,A person issuing a community protection notice must before doing so inform any body or individual the person thinks appropriate.,0.438123643,NR,
15,7,402,"Anti-social Behaviour, Crime and Policing Act 2014",s.45(1),Occupier or owner unascertainable,"This section applies whereÃ¢Â€Â”(a) an authorised person has power to issue a community protection notice, (b) the detrimental effect referred to in section 43(1) arises from the condition of premises or the use to which premises have been put, and (c) the authorised person has made reasonable enquiries to find out the name or proper address of the occupier of the premises (or, if the premises are unoccupied, the owner) but without success.",0.439802647,NR,
15,8,342,"Anti-social Behaviour, Crime and Policing Act 2014",s.1(2),Power to grant injunctions,"The first condition is that the court is satisfied, on the balance of probabilities, that the respondent has engaged or threatens to engage in anti-social behaviour.",0.441907197,NR,
15,9,781,The Housing Health and Safety Rating System (England) Regulations 2005,Sch 1(12),Entry by intruders,12. Difficulties in keeping the dwelling or HMO secure against unauthorised entry.,0.442825258,SR,
15,10,459,Housing Act 1985,s.84A(6),Absolute ground for possession for anti-social behaviour,"Condition 4 is thatÃ¢Â€Â” (a) the dwelling-house is or has been subject to a closure order under section 80 of the Anti-social Behaviour, Crime and Policing Act 2014, and (b) access to the dwelling-house has been prohibited (under the closure order or under a closure notice issued under section 76 of that Act) for a continuous period of more than 48 hours.",0.444174826,NR,
16,1,444,"Anti-social Behaviour, Crime and Policing Act 2014",s.76(5),Power to issue closure notices,"A closure notice mustÃ¢Â€Â”(a) identify the premises; (b) explain the effect of the notice; (c) state that failure to comply with the notice is an offence; (d) state that an application will be made under section 80 for a closure order; (e) specify when and where the application will be heard; (f) explain the effect of a closure order; (g) give information about the names of, and means of contacting, persons and organisations in the area that provide advice about housing and legal matters.",0.319125026,VR,
16,2,459,Housing Act 1985,s.84A(6),Absolute ground for possession for anti-social behaviour,"Condition 4 is thatÃ¢Â€Â” (a) the dwelling-house is or has been subject to a closure order under section 80 of the Anti-social Behaviour, Crime and Policing Act 2014, and (b) access to the dwelling-house has been prohibited (under the closure order or under a closure notice issued under section 76 of that Act) for a continuous period of more than 48 hours.",0.320766687,VR,
16,3,473,Housing Act 1985,s.83ZA(7),Notice requirements in relation to proceedings for possession on absolute ground for anti-social behaviour,"A notice which states that the landlord proposes to rely upon condition 4 in section 84AÃ¢Â€Â” (a) must also state the closure order concerned, and (b) must be served on the tenant withinÃ¢Â€Â”     (i) the period of 3 months beginning with the day on which the closure order was made, or     (ii) if there is an appeal against the making of the order, the period of 3 months beginning with the day on which the appeal is finally determined, abandoned or withdrawn.",0.339348435,VR,
16,4,440,"Anti-social Behaviour, Crime and Policing Act 2014",s.76(1),Power to issue closure notices,"A police officer of at least the rank of inspector, or the local authority, may issue a closure notice if satisfied on reasonable groundsÃ¢Â€Â”(a) that the use of particular premises has resulted, or (if the notice is not issued) is likely soon to result, in nuisance to members of the public, or (b) that there has been, or (if the notice is not issued) is likely soon to be, disorder near those premises associated with the use of those premises, and that the notice is necessary to prevent the nuisance or disorder from continuing, recurring or occurring.",0.354453266,VR,
16,5,441,"Anti-social Behaviour, Crime and Policing Act 2014",s.76(2),Power to issue closure notices,"A closure notice is a notice prohibiting access to the premises for a period specified in the notice. For the maximum period, see section 77.",0.358032733,VR,
16,6,448,"Anti-social Behaviour, Crime and Policing Act 2014",s.78(1),Cancellation or variation of closure notices,"This section applies where a closure notice is in force and the relevant officer or authority is no longer satisfied as mentioned in section 76(1), eitherÃ¢Â€Â” (a) as regards the premises as a whole, or (b) as regards a particular part of the premises.",0.362772644,VR,
16,7,443,"Anti-social Behaviour, Crime and Policing Act 2014",s.76(4),Power to issue closure notices,"A closure notice may not prohibit access byÃ¢Â€Â”(a) people who habitually live on the premises, or (b) the owner of the premises, and accordingly they must be specified under subsection (3)(a).",0.367709339,VR,
16,8,445,"Anti-social Behaviour, Crime and Policing Act 2014",s.76(6),Power to issue closure notices,"A closure notice may be issued only if reasonable efforts have been made to informÃ¢Â€Â”(a) people who live on the premises (whether habitually or not), and (b) any person who has control of or responsibility for the premises or who has an interest in them, that the notice is going to be issued.",0.37295562,VR,
16,9,598,Housing Act 1988,s.10A(8),Power to order transfer of tenancy in certain cases,"In particular, if the tenancy is a fixed term tenancy, the term comes to an end at the same time as if the order had not been made.",0.382730842,NR,
